College_Name,District,Other district,,,,,,
"Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar",Dist.Ahmednagar,Ahmednagar,,,,,,
"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon.",Malegaon.,Nashik,,,,,,
"Guru Gobind Singh College of Engineering & Research Centre, Nashik.",Nashik.,Nashik,,,,,,
"R.C. Patel College of Engineering and Polytechnic, Shirpur",Shirpur,Dhule,,,,,,
"Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule",Dhule,Dhule,,,,,,
"P.G. College of Engineering & Technology, Nandurbar",Nandurbar,Nandurbar,,,,,,
"Shri Swami Samarth Institute of Management and Technology, Malwadi-Bota",Malwadi-Bota,Ahmednagar,,,,,,
"MKD Institute of Technology, Nadurbar",Nadurbar,Nandurbar,,,,,,
"Government College of Engineering & Research, Avasari Khurd",Khurd,Pune,,,,,,
"Government College of Engineering, Karad",Karad,Satara,,,,,,
COEP Technological University,University,Pune,,,,,,
"College of Engineering, Pune",Pune,Pune,,,,,,
"Walchand College of Engineering, Sangli",Sangli,Sangli,,,,,,
"Department of Technology, Shivaji University, Kolhapur",Kolhapur,Kolhapur,,,,,,
"Government College of Engineering, Kolhapur",Kolhapur,Kolhapur,,,,,,
"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Pune,Pune,,,,,,
